segment_id,text,segment_type,metadata
1,"এরকম ঘটনা এই শহরে এর আগে ঘটেনি।",narration,"Introduction, setting the premise"
2,"তার আগে শহরটার পরিচয় দেওয়া দরকার। আমাদের চেনাশোনা আর পাঁচটা শহরের সঙ্গে এই শহরটির পার্থক্য হল এখানে আইন-শৃঙ্খলা সবাই মানে, বয়স্কদের শ্রদ্ধা করে কনিষ্ঠরা, কারণ এই শহরটিকে ওঁরা নিজেদের রক্ত দিয়েই তৈরি করেছেন বলা যায়। শহরের জন্যে প্রত্যেকেরই মায়া আছে, তাই কোনও ত্রুটিবিচ্যুতি সচরাচর চোখে পড়ে না। অথচ মাত্র পঞ্চাশ বছর এই শহরটির আয়ু। হিমালয়ের ওপর এমন টাটকা বাতাসের রাজত্বে ছবির মতো এই শহরটা দেখলে চোখ জুড়িয়ে যায়। খুব কাছের সমতলের বড় জংশন স্টেশনে পৌঁছতে বড়জোর ঘণ্টা আড়াই মতো সময় লাগে।",narration,"Description of the city (Kankapur): peaceful, orderly, young, picturesque"
3,"হিমালয়ের এই তল্লাটের আরও কিছু নামী-দামি শহর আছে যেখানে প্রতি বছর লক্ষ-লক্ষ মানুষ আসে ট্যুরিস্ট হয়ে। কিন্তু পাহাড়ি শহরের যত আকর্ষণই থাক না কেন, বেড়াতে আসা মানুষগুলো সেখানে শরীর সারাতে আসে না। প্রথম কথাঃ পাহাড়ের জল অনেকেরই সহ্য হয় না, দ্বিতীয়ঃ ওইসব শহরে কিছু দিন বেশি থাকা ব্যয়সাপেক্ষ। এই পরিস্থিতিতে কী করে যে প্রচারিত হল যে আমাদের নতুন শহরটির চারদিকে যেমন অজস্র লোখনীয় প্রাকৃতিক দৃশ্যের অভাব নেই, তেমনই এখানকার জল ঠিক আর পাঁচটা পাহাড়ি শহরের চেয়ে চরিত্রে একদম আলাদা। মধুপুর, দেওঘরের মতো এই জলে শরীর সুস্থ হয়। এখানকার হোটেলগুলো মোটেই ব্যয়সাধ্যি নয়। ফলে গত বছর থেকে এখানে ট্যুরিস্টরা আসছে এবং এই শহরের মানুষেরা সারা বছরের খরচ, আশা করা যায় ট্যুরিস্টরাই দিয়ে যাবে। এ বছর ভিড় আরও বেড়েছে কিন্তু এতটুকু বিশৃঙ্খলা দেখা যায়নি। ট্যুরিস্টদের কাছে বিভিন্ন হোর্ডিং-এ আবেদন করা হয়, এই শহরটাকে নিজের বলে মনে করুন। এখানকার প্রশাসনব্যবস্থা অত্যন্ত সজাগ। দেশের সরকার ইতিমধ্যে কিছু-কিছু সাহায্য করেছেন বটে তবে তাঁরা এখানকার স্বায়ত্তশাসন যেন অনেকটাই মেনে নিয়েছেন। গণভোটের মাধ্যমে নির্বাচিত প্রতিনিধিরাই শহরটিকে শাসন করেন। এখন যিনি কমিশনার তিনি সেই আদিযুগ থেকেই শহরে আছেন। নিজের রক্তের মতো মনে করেন এই শহরকে। শহরটির নাম কনকপুর।",narration,"Background: Tourism, reputation of water, administration, Commissioner Gupto"
4,"সেই শহরে একদিন সকালে কাণ্ডটা ঘটে গেল। সবে ঘুম ভেঙেছে কিন্তু এখনও আলস্য যায়নি। এই রকম ভোরে শহরটার গায়ে কুয়াশার হালকা চাদর জড়ানো থাকে। সেই সময় একটি যুবক প্রায় ছুটতে ছুটতে থানায় ঢুকল। রিসেপশনের অফিসারটি তখন রাত্রিজাগরণে ক্লান্ত, তাঁর বদলি অফিসারের অপেক্ষায় ছিলেন। উত্তেজিত যুবকটিকে দেখে কিন্তু সোজা হয়ে বসলেন।",narration,"Incident: A young man runs to the police station"
5,"যুবকুটি হাঁপাতে হাঁপাতে বলল, অফিসার, আমার স্ত্রীকে বাঁচান।",dialogue,"Young Man"
6,"অফিসার চেয়ারটি দেখিয়ে বললেন, বসুন। কী হয়েছে বলুন!",dialogue,"Police Officer"
7,"আমার স্ত্রীকে পাচ্ছি না। ছেলেটির মুখ সাদা। কাল রাত্রে একসঙ্গে শুয়েছি আমরা, ভোরে উঠে আর দেখতে পাচ্ছি না।",dialogue,"Young Man"
8,"অফিসার হাসলেন, আরে মশাই, ভোর তো সবে হল। উনি একলা একটু বেড়াতেও তো যেতে পারেন। নতুন বিয়ে করেছেন বুঝি?",dialogue,"Police Officer"
9,"যুবকটি খুব দ্রুত মাথা নাড়ল, না-না, বেড়াতে যায়নি ও। এই দেখুন, টেবিলের ওপর এই চিঠিটা ছিল।",dialogue,"Young Man"
10,"অফিসার হাত বাড়িয়ে চিরকুটটি নিলেন। মেয়েলি অক্ষরে লেখা রয়েছে, ‘এই সম্পর্ক মানতে পারছি না। তুমি এত ভালো তাই তোমাকে ঠকাব না। আমার কথা ভুলে যেয়ো, ক্ষমা চাইছি।’",narration,"Content of the note"
11,"এবার অফিসার নড়ে-চড়ে বসলেন। তারপর কাগজ-কলম নিয়ে যুবকটিকে জেরা করতে লাগলেন। এ রকম অভিজ্ঞতার কথা তিনি গল্পের বইতে পড়েছেন। কনকপুরের এমন ঘটনা প্রথম ঘটল।",narration,"Police officer's reaction"
12,"ঠিক চল্লিশ মিনিট পরে ম্যাল রোডের ধারে নির্জন বাংলোর লনে সবে চা খেতে-খেতে কমিশনার গুপ্ত মুখ তুলে দেখলেন পুলিশের বড়কর্তা সেন গেটের বাইরে গাড়ি রেখে লনে পা ফেললেন। এত ভোরে ওঁর আসার কোনও অভ্যেস নেই। গুপ্ত কিঞ্চিৎ অবাক হলেও তা প্রকাশ করলেন না। মনের অভিব্যক্তি চেপে রাখায় নিপুণ তিনি। সামনে এসে স্যালুট করে দাঁড়াতেই গুপ্ত নমস্কার জানালেন, বসুন-বসুন, চা খাবেন?",narration,"Commissioner Gupto meets Police Chief Sen"
13,"ধন্যবাদ স্যার, আমরা একটু উত্তেজিত। এই শহরে যা কখনও হয়নি আজ তাই হয়েছে। সেন চেয়ারে শরীর রাখতেই বেতের শব্দ হল।",dialogue,"Sen"
14,"সঙ্গে-সঙ্গে কপালে ভাঁজ পড়ল গুপ্তর। এই শহরে কোনও খারাপ কিছু হলে তিনি সহ্য করতে পারবেন না। তবু গলায় স্বাভাবিক স্বর বের হল, কী হয়েছে?",narration,"Gupto's concern"
15,"একটি ট্যুরিস্ট দম্পতি এসে হিমালয় হোটেলে উঠেছিল। সদ্য বিবাহিতা। হানিমুনে এলে যেমন দেখায় তেমনি দেখতে ওদের। আজ সকালে মেয়েটি উধাও হয়েছে একটা চিঠি লিখে রেখে। তা ওই সকালে এখান থেকে নিচে কোনও ট্রান্সপোর্ট যায়নি। তার মানে মেয়েটি এখানেই আছে। ওকে খুঁজে বের করার জন্য লোক পাঠিয়েছি চারধারে। এটা আপনাকে জানানো কর্তব্য বলেই ছুটে এলাম স্যার। সেন নিবেদন করলেন।",dialogue,"Sen explains the case"
16,"চোখ বন্ধ করে কয়েক সেকেন্ড ভাবলেন গুপ্ত—স্ট্রেঞ্জ। মেয়েটিকে না পাওয়া গেলে শহরের ভীষণ বদনাম হয়ে যাবে। ট্যুরিস্টরা আসতে ভয় পাবে। নো-নো, আজ দুপুরের মধ্যে ওই মেয়েটিকে খুঁজে বের করুন। মনে রাখবেন এটা আমাদের ইজ্জতের ব্যাপার।",narration,"Gupto's internal thoughts and order"
17,"সেন বললেন, সে তো নিশ্চয়ই। আমি স্টাফদের বলেছি কনকপুরটাকে চিরুনির মতো আঁচড়াতে। আর হ্যাঁ, ছেলেটিকেও আমি আটকে রেখেছি। বলা যায় না, হয়তো মার্ডার কেস হতে পারে।",dialogue,"Sen"
18,"পারে। কিন্তু সেটা এই শহরের পক্ষে একটু খারাপ ব্যাপার। এখানে এলে বউ খুন হয় রটে গেলে আবার বিপদ হবে। তেমন খবর আমায় না জানিয়ে প্রেসকে রিলিজ করবেন না। মেয়েটিকে খুঁজে বার করে সমাজপতিকে বলবেন কালকের কাগজের প্রথম পাতায় খবরটা ছাপতে। প্রশাসনের তৎপরতার খবর পড়ে সাধারণ মানুষের আমাদের ওপর আস্থা বাড়বে। যান, মেয়েটিকে খুঁজে বের করুন। একটু অসহিষ্ণু গলায় কথাগুলো শেষ করে হাত নাড়লেন।",dialogue,"Gupto"
19,"সেন আর অপেক্ষায় থাকলেন না। তিনি ভালো করেই জানেন যে গুপ্ত কোনওমতেই এখন শান্ত থাকবেন না। এই শহরের গায়ে আঁচ লাগছে এমন কিছুকে গুপ্তর পক্ষে সহ্য করা অসম্ভব। অতএব মেয়েটিকে খুঁজে বের করতেই হবে।",narration,"Sen leaves to search"
20,"সেন চলে গেলে মনে হল আজকের সকালটা খুব বিশ্রী। এত জায়গা থাকতে তোর এখানে এসে হারাবার কী দরকার ছিল! ধরা যাক, ওকে কেউ খুন করেছে। খবরটা রটে গেলে আর ট্যুরিস্ট আসবে? সবাই ভাববে কনকপুরে গেলে মেয়েদের নিরাপত্তা থাকবে না। কত কষ্টে সবদিক আড়াল করে তিল-তিল করে শহরটাকে তৈরি করেছেন। যার জন্যে কোন ফাঁকে বয়স চলে যাওয়ায় বিয়েটা পর্যন্ত করা হল না।",narration,"Gupto's internal monologue, his love for the city"
21,"ভারী মনে একটু বাদেই নিজের জিপ নিয়ে বেরিয়ে পড়লেন গুপ্ত। বলা যায় না, রাস্তায় আচমকা তাঁর নজরেও পড়ে যেতে পারে মেয়েটা। যদিও তিনি ওকে চেনেন না, ছবিও দেখেননি, কিন্তু ওইরকম পালানে মেয়েদের দেখলেই তিনি চিনতে পারবেন বলেই তাঁর বিশ্বাস।",narration,"Gupto joins the search"
22,"এখন কনকপুর রোদে ভাসছে। দেখে চোখ জুড়িয়ে গেল গুপ্তর। কত পরিশ্রম এর পিছনে আছে। একটা ছোট্ট পাহাড়ি গ্রামকে আজ মোটামুটি আধুনিক শহরের চেহারা দেওয়া হল, এক জীবনেই। প্রায় জঙ্গল কেটেই পত্তন। আদিবাসীরা অবশ্যই খুব সন্তুষ্ট নয়, তারা আরও জঙ্গলের গভীরে চলে গেছে। কিন্তু রুজিরোজগারের জন্যে এখানেই আসতে হয়। নির্জন সকালের রাস্তায় জিপের সামনে বসে কিন্তু খুব স্বস্তি পাচ্ছিলেন না। হঠাৎ ওঁর নজরে পড়ল রাস্তার ধার ঘেঁষে একটি মেয়ে খাদের দিকে তাকিয়ে দাঁড়িয়ে আছে। খুব জোরে জিপ ছুটিয়ে ঠিক মেয়েটির পাশে এসে ব্রেক করতেই সে মুখ ঘোরাল। গুপ্ত মনে-মনে বললেন, যাচ্চলে। তারপর হাসিমুখে প্রশ্ন করলেন, কী খবর? কেমন আছ?",narration,"Gupto sees a girl (Surma)"
23,"মেয়েটি সামান্য মাথা দুলিয়ে হাসল। তারপর জিজ্ঞাসা করল, আপনি এত সকালে বেরিয়েছেন?",dialogue,"Surma"
24,"আর বলো না। ছাই ফেলতে তো এই ভাঙা কুলো। তোমার বাবা তো এখন দিব্যি নাক ডাকিয়ে ঘুমুচ্ছে।",dialogue,"Gupto"
25,"গুপ্ত মেয়েটিকে পছন্দ করেন।",narration,
26,"মোটেই না। বাবা এখন হাসপাতালে চলে গেছেন—",dialogue,"Surma"
27,"মেয়েটি প্রতিবাদ করল সহাস্যে।",narration,
28,"গুপ্ত বড়-বড় চোখ করলেন, হাসপাতাল! কনকপুরে কারও বড় কোনও অসুখ হয় না। তাই হাসপাতালে বসে তোমার বাবার তো মেডিক্যাল জার্নাল পড়া ছাড়া কোনও কাজ নেই।",dialogue,"Gupto"
29,"সে আমি জানি না—",dialogue,"Surma"
30,"কিন্তু ওর মতো সিনসিয়ার মানুষ খুব কম দেখেছি। শোনো, আমার ভাই বলে বলছি না, অপরেশের মতো এমন কাজপাগল মানুষ পৃথিবীতে কমে গেছে বলেই মানুষের এই দুর্দশা। যেই আমি হাসপাতালটা করে ফেললাম, অমনি ওকে টেনে নিয়ে এলাম এখানে। সবাই ওর প্রশংসা করে কিন্তু ওকে আবিষ্কারের কৃতিত্বটা আমার। তুমি কী বলো? সাগ্রহে তাকালেন গুপ্ত।",dialogue,"Gupto"
31,"মেয়েটি সলাজুক হাসল, নিশ্চয়ই। বাবার প্রশংসা—",dialogue,"Surma"
32,"কিন্তু তুমি এখানে দাঁড়িয়ে কী দেখছিলে? প্রসঙ্গ পালটালেন গুপ্ত。",dialogue,"Gupto"
33,"স্কুলে যাচ্ছিলাম। হঠাৎ বাঁদিকে তাকাতেই নিচে কুয়াশাদের গলে যেতে দেখলাম। তাই—",dialogue,"Surma"
34,"যাচ্চলে! কুয়াশাদের গলে যাওয়া দেখতে পেলে! তোমাদের সবই উদ্ভট। শোনো, একটি মেয়েকে পাওয়া যাচ্ছে না। স্বামীর সঙ্গে বেড়াতে এসে আমাকে ঝামেলায় ফেলেছে। কোনও মেয়েকে একলা ঘুরতে দেখলেই, যদি সন্দেহ হয়, তক্ষুনি আমাকে খবর দেবে—আর দাঁড়ালেন না গুপ্ত。",dialogue,"Gupto"
35,"তাঁর এই ভাইঝিটি খুব শান্ত। এম. এ. পাশ করে বসেছিল। তিনি এখানকার একমাত্র স্কুলে চাকরি করে দিয়েছেন। তাঁর এই ভাইটি ছন্নছাড়া। কোনও চাকরিতে বেশি দিন টিকতে পারেনি পিটপিটুনি স্বভাবের জন্য। শেষমেশ পুরুলিয়ার এক গ্রামে প্র্যাকটিস করছিল। দু-বেলা পেট ভরে ভাত জুটত না কারণ ফি-এর টাকাটা পকেটেই আসত না।",narration,"Backstory of Aparajito (Gupto's brother)"
36,"হাসপাতালের সামনে গাড়ি দাঁড় করিয়ে নিচে নামলেন গুপ্ত। ওঁকে দেখে কর্মচারীরা তটস্থ। না, চেম্বারে অপরেশ নেই। বেয়ারা বলল, সে নাকি ওয়ার্ডে। গুপ্ত সেখানেই চললেন। ওষুধের কড়া গন্ধ তিনি সহ্য করতে পারেন না। যেতে যেতে দেখলেন প্যাসেজে একটা কাগজ পড়ে আছে। বিরক্ত ভঙ্গিতে সেটাকে তুলে নিয়ে ওয়েস্ট পেপার বাস্কেটে ফেলে ওয়ার্ডে ঢুকলেন।",narration,"Gupto at the hospital"
37,"অপরেশ ঝুঁকে পড়ে একজন রুগির সঙ্গে কথা বলছেন।",narration,"Aparajito with a patient"
38,"গুপ্ত দেখলেন কোনও বেডই খালি নেই। তবে দেহাতিদের সংখ্যাই বেশি। গুপ্তকে দেখে অপরেশ এগিয়ে এলেন, কী ব্যাপার?",narration,"Aparajito sees Gupto"
39,"এত রুগি কেন?",dialogue,"Gupto"
40,"বাঃ, অসুখ হলে চিকিৎসার জন্যে আসবে না?",dialogue,"Aparajito"
41,"গুপ্ত অসন্তুষ্ট ভঙ্গিতে মাথা নাড়লেন, না-না, এ ভালো কথা নয়। একটা শহরের জলহাওয়া কীরকম তা বোঝা যায় সেখানকার হাসপাতালের রুগির সংখ্যার ওপর। আদিবাসীদের কথা আমি ধরছি না, কিন্তু ওখানে তো কিছু—! কথা শেষ না করে গুপ্ত দ্রুতপায়ে এগিয়ে গেলেন।",narration,"Gupto's displeasure"
42,"আপনার নাম?",dialogue,"Gupto to a patient"
43,"মোটাসোটা ভদ্রলোকটি শুয়ে ছিলেন চোখ খুলে, নাম বললেন।",narration,
44,"আপনি এখানকার লোক?",dialogue,"Gupto"
45,"না, বেড়াতে এসেছিলাম এখানে। পেটে এত যন্ত্রণা হচ্ছে ওঃ! আগেও ছিল—",dialogue,"Patient (Tourist)"
46,"গুপ্তর মুখ উদ্ভাসিত হল। অপরেশের কাছে ফিরে এসে বললেন, না, আমাদের দোষ নেই। এরা সব শরীরে রোগ নিয়েই এখানে এসেছে। তবে হ্যাঁ, এ খবর যেন বাইরে না বের হয়। লোকে ভাববে এখানকার জলেরই দোষ। একবার রটে গেলে আর ট্যুরিস্ট আসবে না এখানে।",dialogue,"Gupto"
47,"অপরেশ কী একটা বলতে গিয়ে চুপ করে গেলেন। অস্বস্তি হলেই উনি চশমা খুলে ফেলেন। গুপ্তর সঙ্গে বাইরে বérিয়ে আসতেই অবিনাশকে চোখে পড়ল। এই শহরের সত্যি উদ্যমী সাংবাদিক। সব সময় কাঁধে ক্যামেরা আর হাতে নোট বই নিয়ে ঘোরে। গুপ্ত ওকে ঠিক পছন্দ না করলেও অপরেশের বেশ ভালো লাগে। ওর মালিক-সম্পাদক সমাজপতিটা অবশ্য ধান্দাবাজ লোক।",narration,"Enter Abinash, the journalist"
48,"সুপ্রভাত স্যার। সুপ্রভাত ডাক্তারবাবু। অবিনাশ একগাল হাসল। হাসপাতালে কী মনে করে? গুপ্ত থমকে দাঁড়ালেন। ওর দিকে তাকালেন। বাইরে আপনার গাড়িটাকে দেখে ভাবলাম ডেডবডি এসে গিয়েছে বুঝি! একবার দেখতে পারি ডাক্তারবাবু? শুনেছি মেয়েটি নাকি খুব সুন্দরী।",dialogue,"Abinash"
49,"অবিনাশ অপরেশকে অনুরোধ জানাল।",narration,
50,"ডেডবডি! হকচকিয়ে গেলেন অপরেশ।",narration,"Aparajito's reaction"
51,"গুপ্ত গর্জে উঠলেন, কী আজেবাজে কথা বলছ? এখানে কোনও ডেডবডি আসেনি। কনকপুরের কোনও মেয়ে খামোকা মরতে যাবে কেন?",dialogue,"Gupto"
52,"অবিনাশ মাথা নাড়ল, কিন্তু স্যার, মেয়েটি তো ওই রকম লিখেই হাওয়া হয়েছে। আপনাকে এখানে দেখে মনে হল হয়তো—",dialogue,"Abinash"
